uuid,post_length,like_count,followers_count,friend_count,hashtag_count,retweet_count,is_retweet,klout_score,exclaimation_count,active_shooter,attack,attacker,bomb,bomb_threat,breaking,danger,dead,gunman,killing,rape,shooter,shooting,stabbing,terrorist,warning,class
b5d27402-03b5-11e7-b35c-3085a993c889,118,0,84,395,0,0,FALSE,45,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
a9fbacca-03b5-11e7-b538-3085a993c889,105,0,754,778,0,0,FALSE,47,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
a79f567a-03b5-11e7-a2c5-3085a993c889,81,0,438,254,0,0,FALSE,41,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
f1eb2f26-03c7-11e7-a367-3085a993c889,146,0,1253,1262,1,11,TRUE,42,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
d1f8b87e-093e-11e7-af42-3085a993c889,490,0,0,0,29,0,FALSE,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
b61f2c84-03b5-11e7-beed-3085a993c889,118,0,8153,152,0,0,FALSE,49,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ea6c6396-059d-11e7-9b24-3085a993c889,142,0,88,543,0,2,TRUE,40,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ad690bd2-03b5-11e7-ab75-3085a993c889,142,0,217,87,0,1005,TRUE,53,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84150cd2-03c8-11e7-88f1-3085a993c889,251,0,0,0,10,0,FALSE,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9cc4d450-03c9-11e7-abd5-3085a993c889,142,0,13753,11863,0,2,TRUE,63,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
a4f307c4-059e-11e7-ba00-3085a993c889,135,0,107,444,0,0,FALSE,40,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
aaa4d2d2-03b5-11e7-8911-3085a993c889,103,0,778,740,0,125,TRUE,48,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
aa5803a8-03b5-11e7-bd52-3085a993c889,189,0,179,125,0,0,FALSE,48,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
